site,long,lat
Forest,-99.5563888549805,50.7294425964355
Forest,-99.5577774047852,50.7294425964355
Forest,-99.5591659545898,50.7291679382324
Forest,-99.5605545043945,50.7291679382324
Forest,-99.5619430541992,50.7291679382324
Forest,-99.5633316040039,50.7291679382324
Forest,-99.5650024414062,50.7291679382324
Forest,-99.5552749633789,50.7286109924316
Forest,-99.5566635131836,50.7286109924316
Forest,-99.5580520629883,50.7283325195312
Forest,-99.5594482421875,50.7283325195312
Forest,-99.5608367919922,50.7283325195312
Forest,-99.5622253417969,50.7283325195312
Forest,-99.5636138916016,50.7283325195312
Forest,-99.5552749633789,50.7277793884277
Forest,-99.5566635131836,50.7275009155273
Forest,-99.5580520629883,50.7275009155273
Forest,-99.5594482421875,50.7275009155273
Forest,-99.5608367919922,50.7275009155273
Forest,-99.5622253417969,50.727222442627
Forest,-99.5636138916016,50.727222442627
Forest,-99.5552749633789,50.7266654968262
Forest,-99.5566635131836,50.7266654968262
Forest,-99.5580520629883,50.7266654968262
Forest,-99.5594482421875,50.7266654968262
Forest,-99.5608367919922,50.7266654968262
Forest,-99.5622253417969,50.7263870239258
Forest,-99.5636138916016,50.7263870239258
Forest,-99.5552749633789,50.7261123657227
Forest,-99.5566635131836,50.7258338928223
Forest,-99.5580520629883,50.7258338928223
Forest,-99.5594482421875,50.7258338928223
Forest,-99.5608367919922,50.7255554199219
Forest,-99.5622253417969,50.7255554199219
Forest,-99.5636138916016,50.7255554199219
Forest,-99.5552749633789,50.7249984741211
Forest,-99.5569458007812,50.7249984741211
Forest,-99.5580520629883,50.7249984741211
Forest,-99.5597229003906,50.724723815918
Forest,-99.5611114501953,50.724723815918
Forest,-99.5622253417969,50.724723815918
Forest,-99.5638885498047,50.7244453430176
Forest,-99.5552749633789,50.7241668701172
Forest,-99.5566635131836,50.7238883972168
Forest,-99.5580520629883,50.7238883972168
Forest,-99.5597229003906,50.7238883972168
Forest,-99.5611114501953,50.7238883972168
Forest,-99.5625,50.7238883972168
Forest,-99.5638885498047,50.7236099243164
Agriculture,-99.5094451904297,50.7561111450195
Agriculture,-99.5111083984375,50.7561111450195
Agriculture,-99.5124969482422,50.7561111450195
Agriculture,-99.5138854980469,50.7561111450195
Agriculture,-99.5155563354492,50.7561111450195
Agriculture,-99.5169448852539,50.7561111450195
Agriculture,-99.5183334350586,50.7561111450195
Agriculture,-99.5094451904297,50.7552795410156
Agriculture,-99.5108337402344,50.7552795410156
Agriculture,-99.5124969482422,50.7552795410156
Agriculture,-99.5138854980469,50.7552795410156
Agriculture,-99.5152740478516,50.7552795410156
Agriculture,-99.5169448852539,50.7552795410156
Agriculture,-99.5183334350586,50.7550010681152
Agriculture,-99.5094451904297,50.7541656494141
Agriculture,-99.5108337402344,50.7541656494141
Agriculture,-99.5124969482422,50.7541656494141
Agriculture,-99.5138854980469,50.7541656494141
Agriculture,-99.5152740478516,50.7541656494141
Agriculture,-99.5169448852539,50.7541656494141
Agriculture,-99.5183334350586,50.7541656494141
Agriculture,-99.5094451904297,50.7533340454102
Agriculture,-99.5108337402344,50.7533340454102
Agriculture,-99.5124969482422,50.7533340454102
Agriculture,-99.5138854980469,50.7533340454102
Agriculture,-99.5155563354492,50.7533340454102
Agriculture,-99.5169448852539,50.7533340454102
Agriculture,-99.5183334350586,50.7533340454102
Agriculture,-99.5094451904297,50.752498626709
Agriculture,-99.5108337402344,50.752498626709
Agriculture,-99.5124969482422,50.752498626709
Agriculture,-99.5138854980469,50.752498626709
Agriculture,-99.5155563354492,50.752498626709
Agriculture,-99.5169448852539,50.752498626709
Agriculture,-99.5183334350586,50.752498626709
Agriculture,-99.5094451904297,50.7516670227051
Agriculture,-99.5108337402344,50.7516670227051
Agriculture,-99.5124969482422,50.7516670227051
Agriculture,-99.5138854980469,50.7516670227051
Agriculture,-99.5152740478516,50.7516670227051
Agriculture,-99.5169448852539,50.7516670227051
Agriculture,-99.5183334350586,50.7513885498047
Agriculture,-99.5094451904297,50.7505569458008
Agriculture,-99.5108337402344,50.7505569458008
Agriculture,-99.5124969482422,50.7505569458008
Agriculture,-99.5138854980469,50.7508316040039
Agriculture,-99.5152740478516,50.7505569458008
Agriculture,-99.5169448852539,50.7505569458008
Agriculture,-99.5183334350586,50.7505569458008
